name,tn,fp,fn,tp,acc,roc_auc,f1,mcc,kappa,ef0_5,ef1,ef2,ef5,tn_ci,fp_ci,fn_ci,tp_ci,acc_ci,roc_auc_ci,f1_ci,mcc_ci,kappa_ci,ef0_5_ci,ef1_ci,ef2_ci,ef5_ci,tn_err,fp_err,fn_err,tp_err,acc_err,roc_auc_err,f1_err,mcc_err,kappa_err,ef0_5_err,ef1_err,ef2_err,ef5_err
fak1,1346.975,4.1803,0.9759,27.8688,0.9962636231883807,0.9995754019367278,0.9139218317503888,0.9140551764157159,0.912022101682635,49.692023542427066,49.692023542427066,47.83670924505193,22.347965702071118,"(1346.8638349986095, 1347.0861650013903)","(4.139614500058235, 4.220985499941765)","(0.9570289329043962, 0.9947710670956038)","(27.76505777168363, 27.97254222831637)","(0.9962306252068232, 0.9962966211699888)","(0.9995668817673088, 0.9995839221061503)","(0.9131369403022304, 0.9147067231985339)","(0.9132838710263288, 0.9148264818051063)","(0.9112220105885942, 0.9128221927766529)","(49.49011766025486, 49.89392942459384)","(49.49011766025486, 49.89392942459384)","(47.69760772654711, 47.97581076355083)","(22.313253220207127, 22.382678183934818)",0.11116500139041818,0.04068549994176518,0.018871067095603822,0.1037422283163707,3.299798158284961e-05,8.520169420767054e-06,0.0007848914481517477,0.0007713053893887434,0.0008000910940293426,0.20190588216949124,0.20190588216949124,0.13910151850186026,0.03471248186384557
gcr,3782.3204,8.9403,3.9105,136.8288,0.9967317395727274,0.999511589890359,0.9548849389098159,0.9534323439149375,0.9531899306681298,28.115709504606162,28.115709504606162,28.115709504606162,20.68088950024549,"(3782.0970654301964, 3782.5437345698037)","(8.87844910656554, 9.002150893434461)","(3.8715443116644206, 3.949455688335579)","(136.60703591558348, 137.05056408441652)","(0.9967128493630172, 0.9967506297824559)","(0.9995070741977787, 0.9995161055829829)","(0.9546146090433945, 0.9551552687762508)","(0.9531548397576708, 0.9537098480722221)","(0.9529102062354264, 0.9534696551008175)","(28.071725217481323, 28.15969379172843)","(28.071725217481323, 28.15969379172843)","(28.071725217481323, 28.15969379172843)","(20.670395594890355, 20.69138340560033)",0.22333456980368283,0.061850893434460374,0.038955688335579275,0.2217640844165203,1.889020971934663e-05,4.515692602069521e-06,0.00027032986642816503,0.00027750415727567646,0.00027972443269552727,0.0439842871235534,0.0439842871235534,0.0439842871235534,0.010493905354987731
hivpr,9028.3389,15.2519,4.9034,345.5058,0.9978544496487378,0.9995496603802357,0.9716079444442148,0.9706266263926969,0.9704932431772135,26.885422454184987,26.885422454184987,26.885422454184987,20.580730566135653,"(9027.968202250338, 9028.709597749663)","(15.174457394054897, 15.3293426059451)","(4.858738425978199, 4.948061574021802)","(345.1417188721376, 345.86988112786247)","(0.9978450277209022, 0.9978638715765219)","(0.9995457690603843, 0.9995535517001098)","(0.9714828310383505, 0.971733057850086)","(0.9704977950181239, 0.9707554577672655)","(0.9703633726265612, 0.9706231137278312)","(26.857192914789525, 26.913651993580107)","(26.857192914789525, 26.913651993580107)","(26.857192914789525, 26.913651993580107)","(20.575473126267152, 20.58598800600485)",0.370697749662213,0.07744260594510166,0.044661574021801265,0.3640811278624483,9.421927809838415e-06,3.8913198627810175e-06,0.00012511340586773834,0.00012883137457075922,0.00012987055063495845,0.028229539395290715,0.028229539395290715,0.028229539395290715,0.00525743986884919
hivrt,4749.2782,28.1028,2.998,131.621,0.9936684039088348,0.9992879950031903,0.893965872427146,0.8943476150344106,0.8907289381277673,36.745488336298806,36.745488336298806,36.745488336298806,23.721201476410844,"(4749.0395986358235, 4749.516801364176)","(28.006996036296893, 28.198603963703103)","(2.9614942164396765, 3.034505783560324)","(131.401729892562, 131.84027010743802)","(0.9936478167424727, 0.9936889910751168)","(0.9992831081943782, 0.9992928818120149)","(0.8936134009163443, 0.8943183439379883)","(0.8940062124480632, 0.8946890176207662)","(0.8903672722595719, 0.8910906039959845)","(36.68478167502354, 36.80619499757673)","(36.68478167502354, 36.80619499757673)","(36.68478167502354, 36.80619499757673)","(23.70417910578562, 23.738223847036224)",0.23860136417624744,0.09580396370310496,0.036505783560323746,0.2192701074380068,2.058716632202806e-05,4.886808818382882e-06,0.00035247151082196115,0.00034140258635151355,0.00036166586820629565,0.06070666127659763,0.06070666127659763,0.06070666127659763,0.017022370625301875
igf1r,2341.3558,7.9002,3.1009,53.6431,0.995427639235233,0.9993576621569,0.9061907667978847,0.905019583606689,0.9038532587938325,43.1555918888826,43.1555918888826,43.0956388795824,21.801900140546127,"(2341.2017758457596, 2341.50982415424)","(7.84539766083351, 7.95500233916649)","(3.066763093743247, 3.1350369062567536)","(53.50096313104287, 53.78523686895712)","(0.9954011106256719, 0.9954541678448185)","(0.9993515718251809, 0.9993637524885932)","(0.9056353822182484, 0.9067461513775152)","(0.904461997733077, 0.9055771694802774)","(0.903285673434154, 0.9044208441535057)","(43.04129532859575, 43.26988844916595)","(43.04129532859575, 43.26988844916595)","(42.9844368725028, 43.20684088665837)","(21.777581397291737, 21.826218883799708)",0.15402415424023275,0.05480233916649002,0.03413690625675336,0.14213686895712385,2.6528609573306383e-05,6.090331706176677e-06,0.0005553845796334445,0.0005575858736002193,0.0005675853596758262,0.11429656028509783,0.11429656028509783,0.11120200707778594,0.02431874325398553
jak2,200.6938,0.9519,0.0,2.3543,0.9953338235293581,0.9952766293123015,0.8338400137118102,0.8514361624833733,0.8317595638611025,116.26873142857251,103.38613142857238,73.26808142857175,31.310167714286294,"(200.66059481249042, 200.7270051875096)","(0.9327132220169878, 0.9710867779830121)","(0.0, 0.0)","(2.32866447510222, 2.3799355248977796)","(0.9952397706961619, 0.995427876362662)","(0.9951813691175022, 0.9953718895070593)","(0.8305061841299606, 0.8371738432935962)","(0.8485610053977443, 0.8543113195689648)","(0.8283947465620698, 0.8351243811600453)","(115.06924343411909, 117.46821942302374)","(102.38048704989413, 104.39177580724873)","(72.57999445620882, 73.95616840093405)","(31.029176496506977, 31.591158932064452)",0.033205187509594225,0.01918677798301216,0,0.02563552489777976,9.405283325003566e-05,9.526019477856806e-05,0.0033338295818178265,0.002875157085610258,0.0033648172989877434,1.1994879944523262,1.005644378677303,0.688086972362612,0.2809912177787375
kif11,1721.9002,5.8628,5.8254,43.4116,0.9934225098480152,0.9854105237829517,0.8802531194647029,0.8774206693864449,0.8768742402995248,36.80793464978743,36.80793464978743,36.72315442055797,20.035923509549967,"(1721.7605391109657, 1722.0398608890343)","(5.813798100597127, 5.911801899402873)","(5.779559522138375, 5.871240477861625)","(43.28633674488712, 43.53686325511288)","(0.9933842494602312, 0.9934607702358857)","(0.9851529866106558, 0.9856680609552527)","(0.8795494995174036, 0.880956739411973)","(0.8767025750079763, 0.8781387637649113)","(0.8761531543764021, 0.8775953262226193)","(36.70461937625828, 36.911249923314756)","(36.70461937625828, 36.911249923314756)","(36.623716779445736, 36.82259206166852)","(20.008631030291628, 20.06321598880825)",0.13966088903430318,0.049001899402872695,0.04584047786162504,0.12526325511287695,3.826038782728247e-05,0.00025753717229848316,0.0007036199472847393,0.000718094378467482,0.0007210859231085998,0.10331527352823855,0.10331527352823855,0.0994376411113933,0.027292479258310465
kit,2643.5088,8.9589,6.9787,55.5536,0.9941297974217145,0.99896740425894,0.8735854347442524,0.8711314154492699,0.8705832446431314,44.17437601689607,44.17437601689607,43.82439197555996,20.64316959809384,"(2643.338271625806, 2643.679328374194)","(8.90189063175032, 9.01590936824968)","(6.926385909506257, 7.031014090493743)","(55.40258120111409, 55.70461879888592)","(0.9941009307492057, 0.9941586640942568)","(0.9989596833326231, 0.9989751251852632)","(0.8729635139744989, 0.8742073555140151)","(0.8704982823726647, 0.871764548525867)","(0.8699485301704271, 0.8712179591158302)","(44.059330818620175, 44.2894212151675)","(44.059330818620175, 44.2894212151675)","(43.72101722842941, 43.927766722686364)","(20.618199931971294, 20.668139264215736)",0.17052837419396383,0.05700936824968039,0.05231409049374314,0.1510187988859144,2.886667252555153e-05,7.720926320065047e-06,0.0006219207697580886,0.0006331330766011778,0.0006347144727015808,0.11504519827366266,0.11504519827366266,0.10337474712847694,0.024969666122220957
kpcb,2203.5806,5.0819,3.8129,58.5246,0.9960833113165763,0.9990944958697677,0.9287076930546354,0.9270379599781405,0.9266947488825356,37.06233601825247,37.06233601825247,37.06233601825247,20.355566979452895,"(2203.417135364948, 2203.7440646350515)","(5.037379223625931, 5.1264207763740695)","(3.7742115501259215, 3.8515884498740784)","(58.37023045203924, 58.67896954796076)","(0.9960579146194647, 0.9961087080137364)","(0.9990855074686443, 0.9991034842708605)","(0.9282343723658119, 0.9291810137434703)","(0.9265553695070295, 0.9275205504492191)","(0.926209447400898, 0.9271800503641612)","(36.96540111334189, 37.15927092316283)","(36.96540111334189, 37.15927092316283)","(36.96540111334189, 37.15927092316283)","(20.335900456863126, 20.375233502043724)",0.16346463505169595,0.04452077637406937,0.03868844987407849,0.15436954796076208,2.5396697135859903e-05,8.988401108078747e-06,0.0004733206888292152,0.00048259047109477926,0.000485301481631617,0.0969349049104693,0.0969349049104693,0.0969349049104693,0.019666522590298996
lck,6932.7411,21.5862,3.8872,166.7855,0.9964247859649489,0.9995460279115614,0.9288650142693373,0.9283225219664655,0.9270363943872774,41.96794783732589,41.96794783732589,41.96794783732589,22.106044380731333,"(6932.487108090608, 6932.995091909393)","(21.496068923239662, 21.67633107676034)","(3.848119300473522, 3.926280699526478)","(166.54649032245018, 167.02450967754984)","(0.9964110467973708, 0.9964385251324539)","(0.9995429849131494, 0.9995490709099866)","(0.9285885538561913, 0.9291414746824693)","(0.9280480386681123, 0.9285970052647914)","(0.9267533934237333, 0.9273193953508232)","(41.90785898174909, 42.02803669290202)","(41.90785898174909, 42.02803669290202)","(41.90785898174909, 42.02803669290202)","(22.09377313786922, 22.118315623593524)",0.25399190939242544,0.09013107676033982,0.03908069952647786,0.2390096775498307,1.3739167541548802e-05,3.0429984185786907e-06,0.0002764604131390014,0.0002744832983395673,0.00028300096354494375,0.060088855576466926,0.060088855576466926,0.060088855576466926,0.012271242862151865
mapk2,497.1238,1.038,0.9771,8.8611,0.9960332677166128,0.9964823705582349,0.891320038092926,0.8918916101789486,0.8893127979571096,57.94777760268749,56.74432560268744,46.99309315391342,20.65076836628751,"(497.0597144807829, 497.18788551921716)","(1.019320950109139, 1.0566790498908611)","(0.9582181800693059, 0.995981819930694)","(8.802545736472057, 8.919654263527944)","(0.9959801769139491, 0.996086358519122)","(0.9964301822377725, 0.9965345588787023)","(0.8897290257030704, 0.892911050482803)","(0.8903313997863314, 0.8934518205715993)","(0.8877003892299045, 0.8909252066843165)","(57.48263929716059, 58.412915908215396)","(56.36005921008561, 57.128591995290364)","(46.81257229977702, 47.17361400805207)","(20.589827666238882, 20.7117090663334)",0.06408551921714434,0.01867904989086111,0.018881819930694044,0.05855426352794346,5.309080258641963e-05,5.218832046494093e-05,0.0015910123898662532,0.0015602103926339872,0.0016124087272060272,0.4651383055274039,0.3842663926023775,0.1805208541375265,0.060940700047257934
met,2853.1228,1.9858,5.1165,55.7749,0.9975643689986881,0.9996100742915903,0.9397934377993346,0.9391484769507892,0.9385520066213611,48.633153449348704,48.633153449348704,45.68975492072206,18.953132809329247,"(2852.9712896363326, 2853.2743103636676)","(1.9582956782312397, 2.0133043217687603)","(5.0718046272110335, 5.161195372788967)","(55.63322794901237, 55.91657205098763)","(0.997546387136496, 0.9975823508607604)","(0.999605764645866, 0.9996143839373248)","(0.9393462386660784, 0.9402406369326305)","(0.9386997403336482, 0.9395972135679366)","(0.938096179116788, 0.9390078341259115)","(48.51313312143797, 48.753173777255405)","(48.51313312143797, 48.753173777255405)","(45.62500238782493, 45.75450745361545)","(18.936179870113417, 18.97008574854482)",0.15151036366751214,0.027504321768760276,0.044695372788966736,0.14167205098762992,1.798186213219921e-05,4.309645729394518e-06,0.0004471991332760661,0.00044873661714417423,0.0004558275045617455,0.12002032790871908,0.12002032790871908,0.0647525328952625,0.0169529392157024
mk01,1155.2005,1.9965,2.7651,32.0379,0.9960053691275081,0.9988395931274797,0.9297699373743313,0.9282727800753965,0.9277153430513001,35.31959958408126,35.31959958408126,35.112273280491166,19.461615581062176,"(1155.0799014390727, 1155.321098560927)","(1.9687225678340672, 2.0242774321659325)","(2.7326742441105893, 2.7975257558894104)","(31.924885280546086, 32.150914719453915)","(0.9959688744036721, 0.9960418638513617)","(0.9988251509302536, 0.9988540353247103)","(0.9291154384644706, 0.930424436284168)","(0.927607148979458, 0.9289384111713421)","(0.9270436130449022, 0.9283870730577255)","(35.19292237763475, 35.4462767905269)","(35.19292237763475, 35.4462767905269)","(34.99687263685975, 35.22767392412136)","(19.437177105947036, 19.4860540561775)",0.12059856092719201,0.027777432165932647,0.032425755889410546,0.11301471945391484,3.6494723844815447e-05,1.4442197228348164e-05,0.0006544989098486997,0.0006656310959420875,0.0006717300064116305,0.12667720644607527,0.12667720644607527,0.1154006436308066,0.02443847511523245
mk10,1668.1629,9.9437,9.0741,37.8193,0.9889751884058015,0.9952943985574205,0.7974434068303975,0.7927566577323323,0.791787847999109,37.54561233853211,37.54561233853211,37.443937823586815,20.520258937821794,"(1668.0191404614002, 1668.3066595386)","(9.881265990273063, 10.006134009726937)","(9.016644135739757, 9.131555864260243)","(37.70193675351339, 37.93666324648661)","(0.9889272953116766, 0.9890230814999175)","(0.9952615589549155, 0.9953272381598773)","(0.7965746031362072, 0.7983122105245596)","(0.7918715057005221, 0.7936418097641611)","(0.7908993819958163, 0.7926763140023909)","(37.43862140236217, 37.652603274703196)","(37.43862140236217, 37.652603274703196)","(37.340398428278235, 37.54747721889687)","(20.48174976580499, 20.558768109839242)",0.14375953859985202,0.062434009726937134,0.05745586426024296,0.11736324648661167,4.789309412045473e-05,3.283960248090523e-05,0.0008688036941761901,0.0008851520318194916,0.0008884660032872915,0.10699093617051147,0.10699093617051147,0.1035393953093191,0.03850917201712534
