name,tn,fp,fn,tp,acc,roc_auc,f1,mcc,kappa,ef0_5,ef1,ef2,ef5,tn_ci,fp_ci,fn_ci,tp_ci,acc_ci,roc_auc_ci,f1_ci,mcc_ci,kappa_ci,ef0_5_ci,ef1_ci,ef2_ci,ef5_ci,tn_err,fp_err,fn_err,tp_err,acc_err,roc_auc_err,f1_err,mcc_err,kappa_err,ef0_5_err,ef1_err,ef2_err,ef5_err
fak1,1333.177,11.9939,3.0311,25.798,0.9890647743813504,0.9964605094160932,0.7718190796420866,0.7749308061526364,0.766348927381015,49.24860787736052,49.24860787736052,49.06625254711557,26.36232119249806,"(1333.0554139150308, 1333.298586084969)","(11.92666869954162, 12.06113130045838)","(2.9986256274998704, 3.0635743725001294)","(25.70086089826511, 25.895139101734888)","(0.9890101219439862, 0.9891194268187504)","(0.9964310784226496, 0.9964899404095231)","(0.7706680749443783, 0.7729700843397297)","(0.7738156278477264, 0.7760459844575498)","(0.7651775025505394, 0.7675203522114638)","(49.06916621725341, 49.428049537474635)","(49.06916621725341, 49.428049537474635)","(48.894043445095654, 49.238461649142785)","(26.30209683319788, 26.422545551797114)",0.12158608496906709,0.06723130045837955,0.03247437250012952,0.09713910173488927,5.465243738211889e-05,2.9430993436774244e-05,0.001151004697675706,0.0011151783049117014,0.0011714248304621755,0.17944166011061213,0.17944166011061213,0.1722091020235652,0.06022435929961745
gcr,1493.7505,6.0534,6.2051,18.991,0.9919616393442254,0.9935711418561792,0.7527477768791431,0.7506019437664553,0.748681470330097,62.98174417872413,62.88712513961046,49.09761040255703,20.172587399583396,"(1493.645682722745, 1493.8553172772552)","(6.004928063581528, 6.101871936418472)","(6.1569331130717515, 6.253266886928248)","(18.910197331555498, 19.0718026684445)","(0.9919166208224676, 0.9920066578660568)","(0.993524090941332, 0.993618192770989)","(0.7514249886267129, 0.754070565131504)","(0.7492665095064727, 0.7519373780264306)","(0.7473411498938358, 0.7500217907663203)","(62.72328553918967, 63.24020281825411)","(62.633492853101906, 63.140757426114625)","(48.959877722763245, 49.23534308235012)","(20.115675858730135, 20.22949894043682)",0.10481727725505152,0.048471936418471806,0.04816688692824833,0.08080266844450179,4.5018521794615296e-05,4.705091482848367e-05,0.0013227882523955126,0.0013354342599789515,0.001340320436242215,0.2584586395322219,0.2536322865063596,0.13773267979343728,0.056911540853342046
hivpr,8895.9792,40.6697,63.8311,285.52,0.9887464139564909,0.9788432981450773,0.845093885185107,0.8399006831745168,0.8392630431439924,26.659644865098013,26.659644865098013,26.659644865098013,18.692264765141097,"(8895.587246324372, 8896.371153675627)","(40.54271919960435, 40.79668080039565)","(63.6778728298363, 63.984327170163695)","(285.1816063494669, 285.85839365053306)","(0.9887253320609241, 0.9887674958520632)","(0.9787514914599506, 0.9789351048301894)","(0.8448048862892861, 0.8453828840809365)","(0.8396043892653482, 0.8401969770836759)","(0.8389648567701944, 0.8395612295177954)","(26.630987084830604, 26.68830264536661)","(26.630987084830604, 26.68830264536661)","(26.630987084830604, 26.68830264536661)","(18.681036707296066, 18.703492822985744)",0.39195367562751926,0.12698080039564985,0.1532271701636958,0.338393650533078,2.108189556959683e-05,9.180668511943324e-05,0.0002889988958252321,0.00029629390916385834,0.00029818637380052415,0.028657780268002142,0.028657780268002142,0.028657780268002142,0.011228057844839157
hivrt,2776.5619,9.8922,48.4087,31.1372,0.9796577459874442,0.9271793574948691,0.5147577812318723,0.5353698951376128,0.5055120657784683,36.496304106284576,36.45573330101781,26.02770185150358,10.376676978654537,"(2776.376556871631, 2776.7472431283695)","(9.835534874202605, 9.948865125797397)","(48.26697827347365, 48.55042172652636)","(31.031119049371256, 31.243280950628744)","(0.9796036998969303, 0.9797117920779473)","(0.9268544909004349, 0.9275042240893251)","(0.51365342740735, 0.5158621350563765)","(0.5343221550254578, 0.5364176352497867)","(0.5043975106957119, 0.5066266208612205)","(36.414131985956374, 36.57847622661288)","(36.374290240230046, 36.537176361805955)","(25.961971076394672, 26.093432626612593)","(10.350423908552704, 10.40293004875612)",0.18534312836936806,0.05666512579739624,0.14172172652635595,0.10608095062874412,5.4046090508519384e-05,0.0003248665944450835,0.0011043538245132378,0.0010477401121644636,0.001114555082754265,0.08217212032825216,0.08144306078795438,0.06573077510896042,0.026253070101708076
igf1r,2306.086,25.2982,21.0214,35.5944,0.9806031825795619,0.9643639273493158,0.603846208999866,0.5954783101815988,0.5939516945337497,42.9281952208475,42.9281952208475,42.7806095597352,21.752039441738706,"(2305.911349760731, 2306.2606502392687)","(25.19940854621747, 25.396991453782533)","(20.929376231110865, 21.113423768889135)","(35.47750945844284, 35.71129054155716)","(0.9805470769722493, 0.9806592881868799)","(0.9640861662438915, 0.964641688454732)","(0.6027830022100065, 0.6049094157896939)","(0.5943983754570156, 0.5965582449062129)","(0.5928692387161266, 0.5950341503513855)","(42.81468623045763, 43.04170421123877)","(42.81468623045763, 43.04170421123877)","(42.66966670715282, 42.891552412319335)","(21.700590940237333, 21.803487943239645)",0.17465023926888534,0.09879145378253185,0.09202376888913477,0.1168905415571615,5.6105607315282136e-05,0.0002777611054202156,0.0010632067898437292,0.0010799347245986635,0.0010824558176294463,0.11350899039057083,0.11350899039057083,0.11094285258325698,0.051448501501155874
jak2,1615.3392,17.0937,15.6731,21.894,0.9803791616766475,0.9584967822675613,0.5681264405325853,0.5598099589385259,0.5581426506315039,45.61073829317358,45.61073829317358,44.70752995762265,20.85964315780254,"(1615.2030042754666, 1615.4753957245332)","(17.014560408357628, 17.17283959164237)","(15.598271916622863, 15.747928083377136)","(21.801211010698076, 21.98678898930192)","(0.9803139510959028, 0.9804443722573905)","(0.9580942807350932, 0.958899283799997)","(0.566729225174035, 0.5695236558911092)","(0.5583916694467321, 0.561228248430329)","(0.5567244201509954, 0.5595608811120064)","(45.46128985673056, 45.76018672961774)","(45.46128985673056, 45.76018672961774)","(44.57533005564894, 44.83972985959698)","(20.799677844575747, 20.919608471029527)",0.13619572453330875,0.07913959164237028,0.07482808337713642,0.0927889893019227,6.521058074382413e-05,0.00040250153245191544,0.001397215358537096,0.0014182894917984523,0.001418230480505489,0.14944843644359196,0.14944843644359196,0.13219990197401899,0.059965313226889805
kif11,1712.2328,14.887,17.4058,32.4744,0.9818273494652927,0.9426835122750146,0.6659376461502102,0.6581436633865475,0.656635753683117,36.342590648078314,36.342590648078314,36.20070873450908,19.100594221741183,"(1712.0817292027975, 1712.3838707972025)","(14.807764540591556, 14.966235459408445)","(17.327013217620173, 17.484586782379825)","(32.36867943200725, 32.58012056799276)","(0.9817661812925239, 0.9818885176382582)","(0.9422604513362249, 0.9431065732137893)","(0.6648812882106583, 0.6669940040897706)","(0.6570679576877984, 0.659219369085274)","(0.6555572308825502, 0.6577142764836857)","(36.23832880280564, 36.44685249335146)","(36.23832880280564, 36.44685249335146)","(36.102672273482106, 36.29874519553676)","(19.05411096156314, 19.147077481919446)",0.15107079720246475,0.07923545940844434,0.07878678237982584,0.10572056799275487,6.116817286716536e-05,0.00042306093878219375,0.0010563579395561629,0.0010757056987378277,0.0010785228005677494,0.10426184527290872,0.10426184527290872,0.098036461027327,0.046483260178153074
kit,2553.5706,30.2033,21.8041,33.422,0.9802927624099984,0.9533614744557408,0.5601051410461262,0.5526007028761384,0.5501127792819209,48.71982479446468,48.71982479446468,48.37276972076131,23.23604982234706,"(2553.3881088597004, 2553.7530911402996)","(30.098202782843213, 30.308397217156784)","(21.71243148573917, 21.895768514260826)","(33.30664589607045, 33.537354103929545)","(0.9802396961453143, 0.9803458286746932)","(0.9530872859927187, 0.9536356629187651)","(0.5590096303775688, 0.5612006517146569)","(0.551492022512559, 0.5537093832397117)","(0.5490013946138422, 0.5512241639499936)","(48.58226959533513, 48.85737999359184)","(48.58226959533513, 48.85737999359184)","(48.2434912506162, 48.50204819090369)","(23.1802392918653, 23.291860352828834)",0.18249114029958946,0.10509721715678566,0.091668514260828,0.11535410392954759,5.3066264689483056e-05,0.0002741884630231839,0.0010955106685440752,0.0011086803635763642,0.001111384668075699,0.13755519912835723,0.13755519912835723,0.1292784701437455,0.055810530481767984
kpcb,2195.0686,7.0031,15.9412,45.9871,0.9898655918728005,0.9731359557030391,0.7990144013121863,0.7971173868079784,0.7938589406073303,37.13133498121429,37.13133498121429,36.75598250863071,17.188171266874168,"(2194.911072547639, 2195.226127452361)","(6.9517368279699125, 7.054463172030087)","(15.8624224457779, 16.0199775542221)","(45.858056409792304, 46.11614359020769)","(0.989823833164552, 0.9899073505810313)","(0.972944497601965, 0.973327413804113)","(0.7981885278517941, 0.7998402747725516)","(0.7962943436573758, 0.797940429958579)","(0.7930158842103937, 0.7947019970042518)","(37.039372550599644, 37.223297411831446)","(37.039372550599644, 37.223297411831446)","(36.673103556373924, 36.838861460889014)","(17.15931007175079, 17.217032461997317)",0.15752745236113697,0.051363172030087334,0.07877755422209898,0.12904359020769363,4.1758708239636455e-05,0.00019145810107401573,0.0008258734603787676,0.0008230431506015545,0.0008430563969290539,0.09196243061590081,0.09196243061590081,0.08287895225754482,0.028861195123262462
lck,6875.2958,62.5272,63.7335,105.4435,0.9822343182777625,0.9666116221680291,0.6249811007574463,0.6162408228117293,0.6158918987790714,42.25128337020142,42.25128337020142,42.23559423522637,19.92448147470531,"(6875.002955889047, 6875.588644110952)","(62.37747950657268, 62.67692049342732)","(63.57606041152268, 63.890939588477316)","(105.25493285457385, 105.63206714542615)","(0.9822035838306217, 0.9822650527248867)","(0.9664732140080474, 0.9667500303280177)","(0.6244043718015676, 0.6255578297133001)","(0.6156536928793358, 0.6168279527441299)","(0.6153044176671604, 0.6164793798910017)","(42.18866388735516, 42.313902853048546)","(42.18866388735516, 42.313902853048546)","(42.17331811284213, 42.29787035761144)","(19.89885777683761, 19.95010517257367)",0.29284411095250107,0.14972049342731708,0.15743958847731676,0.18856714542614839,3.073444713252993e-05,0.00013840815998511502,0.0005767289558662458,0.000587129932397068,0.0005874811119206402,0.06261948284669216,0.06261948284669216,0.06227612238465241,0.025623697868031314
mapk2,1529.9885,11.8681,26.1591,25.9843,0.9761435382684899,0.9640451943656564,0.5749362392243196,0.5722852820143879,0.5630586635035877,31.135176501216314,31.135176501216314,30.564756546793987,14.559928273392716,"(1529.835562772102, 1530.1414372278978)","(11.798665263072145, 11.937534736927855)","(26.0581177798009, 26.2600822201991)","(25.88773172275067, 26.080868277249333)","(0.9760688684542139, 0.9762182080828)","(0.9638688647255007, 0.9642215240058181)","(0.5737094451642906, 0.576163033284318)","(0.5710680059119311, 0.57350255811685)","(0.5618106359693014, 0.5643066910378851)","(31.050823992373335, 31.219529010057837)","(31.050823992373335, 31.219529010057837)","(30.485912043558635, 30.64360105002811)","(14.517716295927148, 14.602140250858266)",0.15293722789783715,0.06943473692785496,0.10098222019909997,0.09656827724933237,7.466981429304909e-05,0.0001763296401586789,0.0012267940600136917,0.0012172761024594747,0.0012480275342918734,0.08435250884225098,0.08435250884225098,0.07884450323473757,0.04221197746555916
met,2734.9745,26.9634,27.9531,21.109,0.980463713980789,0.9444656758209728,0.4328087070460966,0.4241488849870744,0.42292345896450007,58.26456544027863,58.26456544027863,49.17149481630814,19.707425997389176,"(2734.8092619447307, 2735.139738055269)","(26.85907733581509, 27.06772266418491)","(27.85517583910139, 28.05102416089861)","(21.025980182140955, 21.192019817859048)","(0.9804119920216532, 0.9805154359399262)","(0.944138625776337, 0.944792725865632)","(0.431608026872565, 0.43400938721961607)","(0.422930569948213, 0.425367200025939)","(0.4217080587500235, 0.4241388591789733)","(58.11343875847165, 58.41569212208649)","(58.11343875847165, 58.41569212208649)","(49.036073709158245, 49.3069159234592)","(19.64989418580513, 19.764957808973925)",0.16523805526912838,0.10432266418490954,0.09792416089861078,0.08301981785904644,5.172195913649702e-05,0.0003270500446475033,0.0012006801735255368,0.0012183150388629937,0.0012154002144749154,0.15112668180741906,0.15112668180741906,0.13542110715047784,0.05753181158439702
mk01,1080.5415,1.9289,7.9608,23.5688,0.9911223518851664,0.9669440711438784,0.8239151187214342,0.8255304587513846,0.8194327955817031,36.508960874218005,36.508960874218005,35.0181357050557,16.116811060317644,"(1080.4292467557004, 1080.6537532442997)","(1.9032399535449755, 1.9545600464550246)","(7.908400707541941, 8.01319929245806)","(23.475061885638617, 23.662538114361382)","(0.9910701434058372, 0.9911745603643604)","(0.9666771582031319, 0.9672109840845817)","(0.8228676980053131, 0.8249625394375095)","(0.8245152914148935, 0.8265456260879042)","(0.8183651959828866, 0.8205003951804952)","(36.37304007073862, 36.64488167769931)","(36.37304007073862, 36.64488167769931)","(34.91917110059265, 35.117100309520225)","(16.08282691786738, 16.15079520276769)",0.11225324429960892,0.02566004645502451,0.05239929245805941,0.09373811436138269,5.2208479261572904e-05,0.0002669129407248949,0.0010474207160982019,0.001015167336505307,0.001067599598804314,0.13592080348034585,0.13592080348034585,0.09896460446378796,0.03398414245015502
mk10,1628.2701,23.9444,26.9429,18.8426,0.9700310365135303,0.9061653896226666,0.42222086261828207,0.40865471880588855,0.4069522106790632,37.964696047385175,37.964696047385175,37.73102952370965,18.909282864670754,"(1628.101535751283, 1628.4386642487168)","(23.848838458836, 24.039961541164004)","(26.84109676885982, 27.044703231140183)","(18.7543507636205, 18.9308492363795)","(0.9699489850616381, 0.9701130879654525)","(0.9056530226390589, 0.9066777566062783)","(0.4209092830909147, 0.4235324421456511)","(0.40731920481041517, 0.4099902328013679)","(0.4056209813521949, 0.40828344000592903)","(37.849603986557334, 38.07978810821222)","(37.849603986557334, 38.07978810821222)","(37.61765508064723, 37.84440396677153)","(18.847141199768156, 18.971424529572747)",0.16856424871684794,0.0955615411640025,0.10180323114018108,0.08824923637950022,8.205145190720575e-05,0.00051236698360968,0.0013115795273682118,0.0013355139954763784,0.0013312293268670783,0.11509206082744328,0.11509206082744328,0.11337444306214906,0.062141664902295446
