name,tn,fp,fn,tp,acc,roc_auc,f1,mcc,kappa,ef0_5,ef1,ef2,ef5,tn_ci,fp_ci,fn_ci,tp_ci,acc_ci,roc_auc_ci,f1_ci,mcc_ci,kappa_ci,ef0_5_ci,ef1_ci,ef2_ci,ef5_ci,tn_err,fp_err,fn_err,tp_err,acc_err,roc_auc_err,f1_err,mcc_err,kappa_err,ef0_5_err,ef1_err,ef2_err,ef5_err
fak1,1343.8308,1.0608,10.9627,18.1457,0.9912492721979305,0.9944099033152497,0.7467611095645805,0.761364442387703,0.7425579802434515,48.82152998134183,48.02433859534164,33.48063621121344,13.168366457799083,"(1343.7243206077935, 1343.9372793922064)","(1.0415740370298021, 1.0800259629701978)","(10.895090676819567, 11.030309323180433)","(18.060602526486544, 18.23079747351346)","(0.9911982954196606, 0.991300248976264)","(0.9943427417096464, 0.9944770649208472)","(0.7452823910432219, 0.7482398280859038)","(0.7600445287912093, 0.7626843559841713)","(0.7410627294263447, 0.7440532310605593)","(48.64373213045017, 48.99932783224046)","(47.86086328017828, 48.187813910511565)","(33.3794155682522, 33.5818568541751)","(13.127741238987142, 13.208991676611188)",0.1064793922064382,0.019225962970197852,0.06760932318043267,0.08509747351345709,5.0976778301681236e-05,6.716160560038542e-05,0.0014787185213409604,0.0013199135964809816,0.0014952508171073298,0.17779785089514633,0.16347531516664304,0.10122064296145084,0.04062521881202308
gcr,1500.3637,0.0,11.9111,12.7252,0.9921894426228964,0.9954436897525162,0.6767456032614961,0.7134960026914715,0.6732884937901814,63.72442216233693,50.768048158876525,25.479639155149,10.393010708020881,"(1500.2708939117463, 1500.456506088254)","(0.0, 0.0)","(11.843728427036949, 11.97847157296305)","(12.660162111821068, 12.79023788817893)","(0.9921452645423193, 0.9922336207035823)","(0.9954070791976781, 0.9954803003073982)","(0.6750272697782344, 0.6784639367447071)","(0.7121159841264204, 0.7148760212565286)","(0.6715608158065662, 0.6750161717738556)","(63.475446646772134, 63.973397677898085)","(50.59336097011984, 50.94273534763466)","(25.38430164773593, 25.57497666255989)","(10.354123040523866, 10.43189837551785)",0.09280608825383752,0,0.06737157296305085,0.06503788817893152,4.41780806315073e-05,3.661055486003928e-05,0.0017183334832363562,0.0013800185650540975,0.0017276779836447043,0.24897551556297515,0.17468718875741018,0.09533750741197977,0.038887667496991796
hivpr,8927.0744,9.6457,60.1809,289.099,0.9924804436786484,0.9874458349780276,0.8920844409779071,0.8912046446399813,0.8882144621363012,26.660477764451592,26.660477764451592,26.660477764451592,17.119790540970634,"(8926.712919608844, 8927.435880391155)","(9.584952948842755, 9.706447051157244)","(60.02845880998325, 60.33334119001675)","(288.7698562359862, 289.4281437640138)","(0.9924629199540198, 0.9924979674032923)","(0.9873628765479785, 0.987528793408081)","(0.8918301414211794, 0.8923387405346445)","(0.8909549576762607, 0.8914543316036919)","(0.887952156787724, 0.8884767674848653)","(26.632747660231846, 26.688207868673235)","(26.632747660231846, 26.688207868673235)","(26.632747660231846, 26.688207868673235)","(17.111035758824688, 17.12854532311719)",0.36148039115505526,0.06074705115724477,0.15244119001675216,0.32914376401379286,1.7523724636259175e-05,8.295843005123871e-05,0.0002542995567325068,0.00024968696371563404,0.00026230534857063503,0.02773010422069433,0.02773010422069433,0.02773010422069433,0.008754782146251472
hivrt,2787.1893,0.0,46.0798,32.7309,0.9839219120725551,0.9669440248908386,0.5843784953084512,0.6375306883601993,0.5776823239504971,36.89675392384908,35.5890637801275,20.87503253124169,8.320817162802584,"(2787.0057426315693, 2787.3728573684307)","(0.0, 0.0)","(45.9432192766387, 46.2163807233613)","(32.61296541510449, 32.848834584895506)","(0.9838742565515138, 0.9839695675936361)","(0.9667755548069561, 0.9671124949747247)","(0.5832391098599397, 0.5855178807569392)","(0.6366412425542032, 0.6384201341661926)","(0.5765387677219767, 0.5788258801790211)","(36.807748135776684, 36.9857597119234)","(35.50926459938168, 35.66886296087475)","(20.818205123951113, 20.93185993853179)","(8.298165678777718, 8.343468646827358)",0.1835573684306837,0,0.13658072336129834,0.11793458489550801,4.765552106111848e-05,0.00016847008388432005,0.0011393854484997856,0.0008894458059947041,0.0011435562285222467,0.0890057880733579,0.0797991807465337,0.05682740729033853,0.02265148402481998
igf1r,2331.6481,0.0,23.6868,32.6651,0.9900809045226151,0.9786809873265645,0.732157180047737,0.7567068937998135,0.7275114539985804,43.02762228351229,42.75653803912172,28.87052055010068,11.645251986595273,"(2331.5152425093024, 2331.7809574906973)","(0.0, 0.0)","(23.591023970318993, 23.78257602968101)","(32.56342310665809, 32.76677689334191)","(0.9900407973075038, 0.9901210117377224)","(0.9784811593844296, 0.9788808152687221)","(0.7310995961695692, 0.7332147639258859)","(0.7558343456481775, 0.7575794419514499)","(0.7264419218115857, 0.728580986185588)","(42.91993293075821, 43.13531163626804)","(42.657709466972925, 42.855366611272196)","(28.805561587198184, 28.935479513003457)","(11.6190500519791, 11.671453921211478)",0.1328574906974609,0,0.09577602968100862,0.1016768933419101,4.0107215109275174e-05,0.00019982794214623567,0.0010575838781583524,0.0008725481516361766,0.001069532187001121,0.10768935275491742,0.09882857214963536,0.06495896290263659,0.02620193461618925
jak2,1630.4513,2.0137,21.5931,15.9419,0.9858641916167704,0.9596778924893898,0.5696107481962519,0.6056218399856472,0.5634464902351244,45.51423152702597,41.75019552919181,24.249752933259554,9.526688652351702,"(1630.3328530976753, 1630.5697469023246)","(1.9846471192567838, 2.0427528807432163)","(21.50462960114639, 21.68157039885361)","(15.864069639480295, 16.019730360519706)","(0.9858078401124766, 0.9859205431210563)","(0.9592028834372328, 0.9601529015415466)","(0.5679568440673878, 0.5712646523250745)","(0.6041477762155604, 0.6070959037557425)","(0.5617841865198516, 0.5651087939503987)","(45.373238300261605, 45.65522475379109)","(41.625562294835255, 41.874828763547875)","(24.15838870355727, 24.341117162962192)","(9.490795562111785, 9.56258174259229)",0.11844690232464927,0.029052880743216214,0.08847039885360886,0.07783036051970527,5.635150428984215e-05,0.00047500905215691613,0.0016539041288433642,0.001474063770091072,0.0016623037152735387,0.14099322676474202,0.12463323435630969,0.09136422970246016,0.035893090240252334
kif11,1726.8847,0.0,29.9633,20.152,0.9831382667416081,0.9697446862751176,0.5700405926001332,0.6263030661205622,0.5631437611961242,36.1432409007624,34.264836096600646,19.831704769700426,8.021813165271984,"(1726.747129713323, 1727.0222702866772)","(0.0, 0.0)","(29.859690156448274, 30.066909843551727)","(20.06565221889131, 20.238347781108693)","(0.9830799606958066, 0.9831965727875925)","(0.9695479310782243, 0.9699414414720237)","(0.5687165945268807, 0.5713645906733679)","(0.6252702501844994, 0.6273358820566329)","(0.5618155827557303, 0.5644719396365119)","(36.042833108678195, 36.243648692846534)","(34.17913922469811, 34.35053296850473)","(19.767500831314095, 19.895908708085962)","(7.995843032891095, 8.04778329765275)",0.13757028667714621,0,0.10360984355172675,0.08634778110869235,5.8306045892964065e-05,0.00019675519689965615,0.0013239980732435708,0.0010328159360667444,0.0013281784403907926,0.1004077920841695,0.0856968719033091,0.06420393838593341,0.025970132380827238
kit,2582.0371,2.038,38.2758,16.6491,0.9847238347859085,0.9580940287712388,0.4494003403334168,0.5125989583819435,0.44365693877188694,48.440618026639285,34.51716847792754,17.00055958660605,6.825982258258561,"(2581.894862051751, 2582.179337948249)","(2.0093651601643616, 2.066634839835638)","(38.15572189296595, 38.395878107034044)","(16.572430569468985, 16.725769430531017)","(0.9846773570295502, 0.9847703125422576)","(0.9577456751129525, 0.9584423824295247)","(0.4479965941264889, 0.4508040865403356)","(0.5113769840079224, 0.5138209327559738)","(0.4422528075426448, 0.44506107000113154)","(48.315165720289535, 48.566070332985596)","(34.38434791566792, 34.649989040186725)","(16.93343793098491, 17.067681242227422)","(6.79903189653182, 6.8529326199852525)",0.14223794824920333,0.028634839835638193,0.12007810703404687,0.07666943053101605,4.647775635369111e-05,0.00034835365828611575,0.0014037462069233508,0.0012219743740257138,0.0014041312292433772,0.12545230634803062,0.13282056225940408,0.06712165562125705,0.026950361726716388
kpcb,2202.248,0.0,24.5639,37.1881,0.9891502208480691,0.9635921159352285,0.7500093723083299,0.7708538960843384,0.7448498632168252,37.231908091756964,37.22641405737881,30.122993513896695,12.068818119872786,"(2202.1002702854416, 2202.3957297145585)","(0.0, 0.0)","(24.469669090940847, 24.658130909059153)","(37.07351263693527, 37.30268736306473)","(0.989108599421794, 0.9891918422743197)","(0.9632624394323936, 0.9639217924380572)","(0.7490646600040758, 0.7509540846125464)","(0.7700656766253402, 0.7716421155433386)","(0.7438925495205551, 0.7458071769131014)","(37.13913621694684, 37.324679966568155)","(37.13396766817545, 37.31886044658321)","(30.06479789295136, 30.181189134841084)","(12.04471459331521, 12.092921646429868)",0.1477297145584089,0,0.09423090905915288,0.11458736306472872,4.1621426262850036e-05,0.0003296765028317772,0.0009447123042353178,0.0007882194589992064,0.0009573136962731654,0.09277187481065852,0.09244638920387871,0.058195620944861304,0.024103526557329502
lck,6926.9562,10.9208,77.3313,91.7917,0.9875823694948457,0.983609160301221,0.6744750613393189,0.690600225383941,0.6685440348072094,42.263552536520834,42.263552536520834,30.418487003819227,12.167394801527552,"(6926.702164815747, 6927.210235184252)","(10.855204837694453, 10.986395162305547)","(77.16144174672762, 77.50115825327238)","(91.60498119906623, 91.97841880093378)","(0.9875566190300349, 0.9876081199596936)","(0.9835112745654739, 0.9837070460369597)","(0.6738136572086793, 0.6751364654699514)","(0.6899894810365268, 0.6912109697313331)","(0.6678752188608313, 0.6692128507536194)","(42.20055364112579, 42.326551431914226)","(42.20055364112579, 42.326551431914226)","(30.377050065552144, 30.45992394208655)","(12.150820026220856, 12.18396957683462)",0.2540351842526434,0.06559516230554685,0.16985825327238047,0.18671880093377524,2.5750464829332742e-05,9.788573574287529e-05,0.0006614041306360896,0.0006107443474031582,0.000668815946394008,0.06299889539421599,0.06299889539421599,0.041436938267203516,0.016574775306882117
mapk2,1539.5357,3.0229,22.6445,28.7969,0.9838974905897053,0.9935097625343884,0.6891126432450219,0.7033737943580907,0.6813755588474536,31.62941832053053,31.62941832053053,29.107056297320877,12.362487972533247,"(1539.3934236908826, 1539.6779763091172)","(2.990227182023307, 3.055572817976693)","(22.552266888165573, 22.73673311183443)","(28.69381015439345, 28.89998984560655)","(0.983838661486811, 0.9839563196926119)","(0.9934700731450349, 0.9935494519237374)","(0.6880158479346776, 0.6902094385553421)","(0.70238029292601, 0.7043672957901853)","(0.6802630683257134, 0.6824880493691863)","(31.53816653367008, 31.72067010738997)","(31.53816653367008, 31.72067010738997)","(29.039301687166965, 29.174810907474406)","(12.332061940559653, 12.392914004506908)",0.1422763091172783,0.03267281797669286,0.09223311183442817,0.10308984560655077,5.8829102900448405e-05,3.9689389351282856e-05,0.0010967953103322436,0.0009935014320876512,0.0011124905217364534,0.09125178685994584,0.09125178685994584,0.06775461015372031,0.030426031973627587
met,2760.9349,0.8751,26.9313,22.2587,0.9901080042689379,0.9872364124800271,0.6126344268140715,0.6545352170249571,0.6083378328989401,58.13679783297467,46.64896632537389,23.640289552471987,9.389051169776254,"(2760.808627717829, 2761.0611722821714)","(0.8570343771188818, 0.8931656228811182)","(26.834699243326106, 27.027900756673894)","(22.172893120491086, 22.344506879508916)","(0.9900734910588808, 0.9901425174790063)","(0.9871354342131532, 0.987337390746888)","(0.611386220456619, 0.6138826331714793)","(0.653496402241581, 0.6555740318083498)","(0.6070836089262367, 0.6095920568716636)","(57.98143707897006, 58.29215858698127)","(46.525300044698355, 46.77263260605136)","(23.570798874383453, 23.709780230561247)","(9.36145203521612, 9.41665030433638)",0.1262722821711577,0.018065622881118237,0.09660075667389378,0.0858068795089153,3.451321006275876e-05,0.00010097826686739086,0.0012482063574301705,0.001038814783384412,0.001254223972713464,0.15536075400560634,0.12366628067650254,0.06949067808889708,0.027599134560130523
mk01,1082.0696,0.0,17.0461,14.8843,0.9846982944344392,0.9625431569936486,0.6303082280483833,0.6738666722152574,0.6237001110673711,35.79127606828315,34.82139392930385,23.46428193998457,9.255303101153777,"(1081.9711903288646, 1082.1680096711355)","(0.0, 0.0)","(16.974095950430225, 17.118104049569773)","(14.81135391190755, 14.957246088092448)","(0.9846336588423972, 0.9847629300265439)","(0.9621761634335076, 0.9629101505537668)","(0.6287145170197918, 0.6319019390769763)","(0.6726056349057712, 0.6751277095247454)","(0.6220976403447265, 0.625302581790024)","(35.675553722494676, 35.906998414072426)","(34.71749277253076, 34.925295086078066)","(23.381408762300023, 23.547155117668833)","(9.22184668025497, 9.288759522052409)",0.0984096711354141,0,0.0720040495697738,0.07294608809244885,6.463559207336989e-05,0.0003669935601295915,0.0015937110285922929,0.001261037309487123,0.0016024707226487411,0.11572234578887475,0.1039011567736523,0.08287317768440516,0.033456420898719585
mk10,1651.0026,0.0,22.8986,24.0988,0.9865143698468526,0.9727427325650382,0.6748453008331037,0.7094156989407177,0.6687719156413112,36.828087268012396,36.52203513519118,25.593321893701678,10.24628905311904,"(1650.8759583043716, 1651.1292416956285)","(0.0, 0.0)","(22.806678228452984, 22.990521771547012)","(24.006597893653428, 24.191002106346573)","(0.9864602345279463, 0.9865685051658108)","(0.9724943229077238, 0.9729911422223388)","(0.6735603605137895, 0.6761302411523838)","(0.7083820274779458, 0.7104493704034818)","(0.6674754868765236, 0.6700683444061173)","(36.726194827639205, 36.92997970838353)","(36.427328855687385, 36.616741414693244)","(25.521197284686906, 25.665446502714836)","(10.217230920055922, 10.275347186182021)",0.12664169562845018,0,0.09192177154701398,0.09220210634657278,5.4135318932280185e-05,0.0002484096573075467,0.0012849403192971565,0.0010336714627680044,0.001296428764796853,0.10189244037216127,0.09470627950292965,0.07212460901396511,0.029058133063049496
mk14,9052.6374,17.8217,92.6491,135.8918,0.9881201419507545,0.9815507762790606,0.7105228905865415,0.7194361544671094,0.704702413486895,40.848184866326115,40.848184866326115,33.63740721530446,13.454962886122074,"(9052.344712992119, 9052.93008700788)","(17.73764838986793, 17.90575161013207)","(92.47297917049957, 92.82522082950044)","(135.67503140957223, 136.10856859042775)","(0.9880987454170419, 0.9881415384844529)","(0.9814792579458081, 0.981622294612326)","(0.710022704752809, 0.7110230764202846)","(0.7189618646788148, 0.719910444255427)","(0.7041951455666049, 0.7052096814071973)","(40.797661414407735, 40.89870831824583)","(40.797661414407735, 40.89870831824583)","(33.602670339606924, 33.672144091003425)","(13.44106813584277, 13.46885763640137)",0.2926870078808861,0.08405161013207163,0.17612082950043373,0.21676859042776186,2.1396533705475562e-05,7.15183332589131e-05,0.0005001858337377874,0.0004742897883061037,0.000507267920296206,0.05052345191904806,0.05052345191904806,0.03473687569825046,0.013894750279300538
mp2k1,1671.0291,1.0158,29.4894,24.4657,0.9823260718424038,0.9626809588179355,0.6127669423015194,0.6516154839988075,0.6050107406357034,32.545897367610465,32.360211005546915,23.250995692975057,9.480305720547468,"(1670.8892790470254, 1671.1689209529745)","(0.9951102472975512, 1.036489752702449)","(29.38748764763477, 29.59131235236523)","(24.37089439887414, 24.560505601125858)","(0.9822665960221044, 0.9823855476627161)","(0.9624224106131004, 0.9629395070227756)","(0.6115215177035119, 0.6140123668995184)","(0.6505951100889465, 0.6526358579086872)","(0.6037569358254663, 0.6062645454459371)","(32.461320357415346, 32.63047437780645)","(32.27955544406259, 32.44086656703211)","(23.18226660561548, 23.319724780333743)","(9.45187182132492, 9.508739619769985)",0.13982095297456,0.020689752702448938,0.101912352365229,0.09480560112585934,5.94758203058543e-05,0.0002585482048376164,0.001245424598003253,0.001020373909870309,0.0012538048102354038,0.0845770101955523,0.08065556148476105,0.06872908735913086,0.028433899222532588
plk1,1712.4883,0.0,25.0782,14.4335,0.9856859589042449,0.9683277143887042,0.5308849825044951,0.5969785268287363,0.5253452702964188,45.04748162598354,34.94322359211191,18.297702554234913,7.27749533407024,"(1712.3628557587895, 1712.6137442412105)","(0.0, 0.0)","(24.978002269664945, 25.178397730335053)","(14.361258309616353, 14.505741690383648)","(0.9856287684187586, 0.9857431493894606)","(0.9681116633545891, 0.9685437654228569)","(0.5292905169605734, 0.5324794480484162)","(0.5957379272739062, 0.5982191263835684)","(0.5237489954367274, 0.5269415451560928)","(44.90206401543213, 45.1928992365376)","(34.81302779704, 35.07341938718486)","(18.22351850145224, 18.371886607016073)","(7.247990313077595, 7.30700035506321)",0.12544424121051634,0,0.1001977303350543,0.07224169038364714,5.719048535102189e-05,0.0002160510341339128,0.0015944655439213973,0.0012405995548311344,0.0015962748596827225,0.14541761055273383,0.1301957950724315,0.07418405278191642,0.02950502099280783
rock1,1587.2017,1.0336,21.9604,27.8043,0.9859621489622841,0.971876205098076,0.7045825937824146,0.7265986604660413,0.6979758401988732,33.593570701204406,33.593570701204406,28.150142115345663,11.582542921035111,"(1587.062740611341, 1587.340659388659)","(1.0138226199256046, 1.0533773800743955)","(21.868565403998126, 22.052234596001874)","(27.70040672441931, 27.908193275580693)","(0.9859048641303384, 0.9860194337939595)","(0.9716534277219114, 0.9720989824742378)","(0.7034268945780852, 0.7057382929866972)","(0.725594798439172, 0.7276025224928964)","(0.6968048177347482, 0.6991468626630087)","(33.49810362112944, 33.68903778127788)","(33.49810362112944, 33.68903778127788)","(28.087305221097594, 28.212979009593496)","(11.554105789517498, 11.610980052552554)",0.1389593886590319,0.019777380074395445,0.09183459600187405,0.10389327558069184,5.728483181055566e-05,0.0002227773761631635,0.0011556992043060266,0.0010038620268622012,0.0011710224641302558,0.09546708007422211,0.09546708007422211,0.06283689424795114,0.028437131517527803
